CodeLevel1|DescriptionLevel1|CodeLevel2|DescriptionLevel2|CodeLevel3|DescriptionLevel3|CodeLevel4|DescriptionLevel4|ID|CustomCodeLevel1|CustomDescriptionLevel1|CustomCodeLevel2|CustomDescriptionLevel2|CustomCodeLevel3|CustomDescriptionLevel3|CustomCodeLevel4|LanguageCode
00|Computadoras|0001|Computadoras de Escritorio|DESKTP|Computadoras de Escritorio|SYST|Sistema|||||||||es-MX
00|Computadoras|0001|Computadoras de Escritorio|I-COMP|Barebones Unidades (Computador y Monitor)|SYST|Sistema|||||||||es-MX
00|Computadoras|0001|Computadoras de Escritorio|SFF|Forma Pequeña/ Sistemas Ultra Slim|SYST|Sistema|||||||||es-MX
00|Computadoras|0001|Computadoras de Escritorio|TOWER|Sistemas de Torre|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-CORE|Estación de Trabajo Intel Core 2|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-ITAN|Workstation (Itanium)|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-OPT|Opteron-Based Workstation|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-P4|P4-Based Workstation|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-RISC|Workstation (RISC)|SYST|Sistema|||||||||es-MX
00|Computadoras|0004|Workstations|W-XEON|Workstation (XEON)|SYST|Sistema|||||||||es-MX
00|Computadoras|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|BOPT|Opciones Servidor Blade|2197|A1012|Servidores|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|BOPT|es-MX
00|Computadoras|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|CABL|Cable|2193|A1012|Servidores|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|CABL|es-MX
00|Computadoras|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|EOPT|Opciones Servidor Blade|2194|A1012|Servidores|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|EOPT|es-MX
00|Computadoras|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|PWR|Suministro de Poder o Adaptador|2195|A1012|Servidores|0005|Servidores para computadora|B-CPNT|Componentes Blade p/ Servidores|PWR|es-MX
00|Computadoras|0005|Servidores para computadora|P-SVR|Pedestal (Torre) Servidores|SYST|Sistema|2198|A1012|Servidores|0005|Servidores para computadora|D1001|Servidores Torre|SYST|es-MX
00|Computadoras|0005|Servidores para computadora|RM-SVR|Servidores Montables|SYST|Sistema|2196|A1012|Servidores|0005|Servidores para computadora|RM-SVR|Servidores Montables|SYST|es-MX
00|Computadoras|0011|Computadoras Portátiles (notebooks)|NETBK|Netbooks|SYST|Sistema|1110|00|Computadoras|C10011|Computadoras Portátiles|NETBK|Netbooks|SYST|es-MX
00|Computadoras|0011|Computadoras Portátiles (notebooks)|NOTEBK|Notebooks|SYST|Sistema|1108|00|Computadoras|C10011|Computadoras Portátiles|NOTEBK|Notebooks|SYST|es-MX
00|Computadoras|0011|Computadoras Portátiles (notebooks)|TAB-PC|Tablets para PCs|SYST|Sistema|1099|00|Computadoras|C10057|Tablets - Notebook 2 en 1|TAB-PC|Tablets para PCs|SYST|es-MX
00|Computadoras|0011|Computadoras Portátiles (notebooks)|TABSYS|Tablet Slate|SYST|Sistema|1109|00|Computadoras|C10004|Tablets|TABSYS|Tablet Slate|SYST|es-MX
00|Computadoras|0032|Barebones|BB-NB|Barebones Notebooks|SYST|Sistema|||||||||es-MX
00|Computadoras|0032|Barebones|BB-PC|Barebones PC|DESK|Desktop Form Factor|||||||||es-MX
00|Computadoras|0032|Barebones|BB-PC|Barebones PC|INTG|Monitor y PC integradas|||||||||es-MX
00|Computadoras|0032|Barebones|BB-PC|Barebones PC|SFF|Small Form Factor|||||||||es-MX
00|Computadoras|0032|Barebones|BB-PC|Barebones PC|TWR|Tower Case|||||||||es-MX
00|Computadoras|0032|Barebones|BB-PC|Barebones PC|USD|Ultra Slim Desktop Form Factor|||||||||es-MX
00|Computadoras|0032|Barebones|BB-SVR|Barebones Servidores|RM|Rackmount Form Factor|||||||||es-MX
00|Computadoras|0032|Barebones|BB-SVR|Barebones Servidores|TWR|Tower Case|||||||||es-MX
00|Computadoras|0034|Thin Clients & Terminales|A-CLNT|Computadoras (All In One)|TERM|Terminales|2407|00|Computadoras|C10038|Thin Clients y Terminales|A-CLNT|Computadoras (All In One)|TERM|es-MX
00|Computadoras|0034|Thin Clients & Terminales|T-CLNT|Terminales Thin Client|TERM|Terminales|2408|00|Computadoras|C10038|Thin Clients y Terminales|T-CLNT|Terminales Thin Client|TERM|es-MX
00|Computadoras|0034|Thin Clients & Terminales|TERM-C|Componentes p/ Terminales|PWR|Suministro de Poder o Adaptador|||||||||es-MX
00|Computadoras|0034|Thin Clients & Terminales|TERM|Terminales de Uso General|TERM|Terminales|2406|00|Computadoras|C10038|Thin Clients y Terminales|TERM|Terminales de Uso General|TERM|es-MX
01|Protección Eléctrica|0101|Equipamiento de Energia|GEN|Generadores|PERP|Periférico|2448|A1014|Protección Eléctrica|C10054|Equipamiento de Energía|GEN|Generadores|PERP|es-MX
01|Protección Eléctrica|0101|Equipamiento de Energia|INVERT|Invertidores de Energía|ACCS|Accesorio|2528|A1014|Protección Eléctrica|C10054|Equipamiento de Energía|INVERT|Invertidores de Energía|ACCS|es-MX
01|Protección Eléctrica|0101|Equipamiento de Energia|INVERT|Invertidores de Energía|PERP|Periférico|2437|A1014|Protección Eléctrica|C10054|Equipamiento de Energía|INVERT|Invertidores de Energía|PERP|es-MX
